Video,WER,ROUGE-1 F1,ROUGE-L F1
video1,0.5604914933837429,0.9515591292410277,0.9495979603843892
video2,0.5690440060698028,0.9478672985781991,0.9371248025276461
video3,0.4788273615635179,0.9685283687943262,0.9645390070921986
